	title	ref	typeBien	ville	price	surface	pieces	chambres	cuisine	garage	surface_terrain	nbSalleBain	balcon	terrace	jardin	classEnergy	gazEmission
488	Annonce : Vente Maison Mirebeau (86110) 78 m² (100 000 €) 992769547258	992769547258	Maison	Mirebeau	100000.0	78.0	4.0	0.0	Oui	Non	1942	0	Non	Non	Non	F	C
489	Annonce : Vente Maison Bréval (78980) 156 m² (329 000 €) 992769547102	992769547102	Maison	BrÉval	329000.0	156.0	7.0	0.0	Oui	Non	10402	0	Non	Non	Non	E	C
490	Annonce : Vente Maison Luçon (85400) 80 m² (225 000 €) 992769524326	992769524326	Maison	LuÇon	225000.0	80.0	3.0	0.0	Oui	Non	5342	0	Non	Non	Non	E	F
491	Annonce : Vente Maison Évry-Grégy-sur-Yerre (77166) 75 m² (329 000 €) 992769524202	992769524202	Maison	Évry-grÉgy-sur-yerre	329000.0	75.0	3.0	0.0	Oui	Non	7502	0	Non	Non	Non	E	E
492	Annonce : Vente Maison Besançon (25000) 144 m² (530 000 €) 992769477832	992769477832	Maison	BesanÇon	530000.0	144.0	6.0	0.0	Oui	Non	19682	0	Non	Non	Non	C	C
493	Annonce : Vente Maison Saint-Brice-sous-Forêt (95350) 170 m² (995 000 €) 992769494520	992769494520	Maison	Saint-brice-sous-forÊt	995000.0	170.0	8.0	0.0	Oui	Non	11512	0	Non	Non	Non	B	C
494	Annonce : Vente Maison Champigny-sur-Marne (94500) 128 m² (539 200 €) 992769469283	992769469283	Maison	Champigny-sur-marne	539200.0	128.0	6.0	0.0	Oui	Non	3792	0	Non	Non	Non	D	D
495	Annonce : Vente Maison Lavaur (81500) 83 m² (245 500 €) 992769568346	992769568346	Maison	Lavaur	245500.0	83.0	4.0	0.0	Oui	Non	9832	0	Non	Non	Non	F	D
496	Annonce : Vente Maison François (79260) 142 m² (369 000 €) 992769524036	992769524036	Maison	Francois	369000.0	142.0	6.0	0.0	Oui	Non	8302	0	Non	Non	Non	A	A
497	Annonce : Vente Maison Auvillar (82340) 130 m² (195 000 €) 992769451161	992769451161	Maison	Auvillar	195000.0	130.0	4.0	0.0	Oui	Non	2702	0	Non	Non	Non	E	C
500	Annonce : Vente Maison Nanterre (92000) 89 m² (704 927 €) 992769489885	992769489885	Maison	Nanterre	704927.0	89.0	5.0	0.0	Oui	Non	4002	0	Non	Non	Non	A	ND
501	Annonce : Vente Maison Cavan (22140) 213 m² (429 000 €) 992769451106	992769451106	Maison	Cavan	429000.0	213.0	6.0	0.0	Oui	Non	36002	0	Non	Non	Non	C	A
502	Annonce : Vente Maison Juvisy-sur-Orge (91260) 150 m² (549 900 €) 992769450943	992769450943	Maison	Juvisy-sur-orge	549900.0	150.0	5.0	0.0	Oui	Non	3562	0	Non	Non	Non	D	D
503	Annonce : Vente Maison Pontarmé (60520) 148 m² (515 000 €) 992769450891	992769450891	Maison	PontarmÉ	515000.0	148.0	6.0	0.0	Oui	Non	5502	0	Non	Non	Non	D	B
504	Annonce : Vente Maison Cosnes-et-Romain (54400) 100 m² (399 000 €) 992769700332	992769700332	Maison	Cosnes-et-romain	399000.0	100.0	4.0	0.0	Oui	Non	9142	0	Non	Non	Non	G	D
505	Annonce : Vente Maison Bléré (37150) 137 m² (313 000 €) 992769431839	992769431839	Maison	BlÉrÉ	313000.0	137.0	6.0	0.0	Oui	Non	8702	0	Non	Non	Non	C	C
506	Annonce : Vente Maison Marolles-en-Hurepoix (91630) 220 m² (469 000 €) 992769392725	992769392725	Maison	Marolles-en-hurepoix	469000.0	220.0	6.0	0.0	Oui	Oui	11782	0	Non	Non	Non	F	G
507	Annonce : Vente Maison Couëron (44220) 104 m² (292 000 €) 992769431495	992769431495	Maison	CouËron	292000.0	104.0	5.0	0.0	Oui	Non	14362	0	Non	Non	Non	D	D
508	Annonce : Vente Maison Bondoufle (91070) 96 m² (340 000 €) 992769363382	992769363382	Maison	Bondoufle	340000.0	96.0	5.0	0.0	Oui	Non	2602	0	Non	Non	Non	C	C
510	Annonce : Vente Maison Nice (06000) 146 m² (699 000 €) 992769347495	992769347495	Maison	Nice	699000.0	146.0	6.0	0.0	Oui	Non	3602	0	Non	Non	Non	D	B
511	Annonce : Vente Maison Féy (57420) 147 m² (525 000 €) 992769655742	992769655742	Maison	FÉy	525000.0	147.0	7.0	0.0	Oui	Non	6952	0	Non	Non	Non	B	C
512	Annonce : Vente Maison Briey (54150) 127 m² (90 000 €) 992769347437	992769347437	Maison	Briey	90000.0	127.0	6.0	0.0	Oui	Non	642	0	Non	Non	Non	D	D
524	Annonce : Vente Maison Puydaniel (31190) 128 m² (394 000 €) 992768936478	992768936478	Maison	Puydaniel	394000.0	128.0	6.0	0.0	Oui	Oui	6692	1	Non	Non	Non	A	A
531	Annonce : Vente Maison Lescousse (09100) 210 m² (450 000 €) 992768594874	992768594874	Maison	Lescousse	450000.0	210.0	5.0	0.0	Oui	Oui	71522	1	Non	Non	Non	C	A
556	Annonce : Vente Maison L'Île-d'Elle (85770) 93 m² (167 200 €) 992769589389	992769589389	Maison	L	167200.0	93.0	4.0	0.0	Oui	Oui	3622	0	Non	Non	Non	C	C
560	Annonce : Vente Maison Polliat (01310) 100 m² (289 999 €) 992769592291	992769592291	Maison	Polliat	289999.0	100.0	4.0	0.0	Oui	Oui	48612	1	Non	Non	Non	E	B
564	Annonce : Vente Maison Pibrac (31820) 189 m² (637 000 €) 992769604566	992769604566	Maison	Pibrac	637000.0	189.0	6.0	0.0	Oui	Oui	16882	2	Non	Non	Non	C	A
566	Annonce : Vente Maison Mauprévoir (86460) 112 m² (64 200 €) 992769602533	992769602533	Maison	Mauprevoir	64200.0	112.0	4.0	0.0	Oui	Oui	16602	1	Non	Non	Non	G	G
567	Annonce : Vente Maison Hem (59510) 85 m² (300 000 €) 992769738034	992769738034	Maison	Hem	300000.0	85.0	5.0	0.0	Oui	Non	1962	0	Non	Non	Non	C	D
568	Annonce : Vente Maison Terrasson-Lavilledieu (24120) 165 m² (283 000 €) 992769738033	992769738033	Maison	Terrasson	283000.0	165.0	4.0	0.0	Oui	Non	297572	0	Non	Non	Non	C	A
569	Annonce : Vente Maison Cotignac (83570) 172 m² (965 000 €) 992769738032	992769738032	Maison	Cotignac	965000.0	172.0	7.0	0.0	Oui	Non	83372	0	Non	Non	Non	ND	ND
572	Annonce : Vente Maison Dieppe (76200) 110 m² (189 000 €) 992769738030	992769738030	Maison	Dieppe	189000.0	110.0	5.0	0.0	Oui	Non	252	0	Non	Non	Non	D	D
574	Annonce : Vente Maison Brive-la-Gaillarde (19100) 135 m² (342 000 €) 992769738027	992769738027	Maison	Brive	342000.0	135.0	6.0	0.0	Oui	Non	2972	0	Non	Non	Non	ND	ND
575	Annonce : Vente Maison Eymet (24500) 230 m² (364 000 €) 992769738026	992769738026	Maison	Eymet	364000.0	230.0	6.0	0.0	Oui	Non	90932	0	Non	Non	Non	D	B
577	Annonce : Vente Maison Concarneau (29900) 80 m² (197 600 €) 992769738025	992769738025	Maison	Concarneau	197600.0	80.0	4.0	0.0	Oui	Non	3402	0	Non	Non	Non	ND	ND
578	Annonce : Vente Maison Saint-Joseph-de-Rivière (38134) 86 m² (239 000 €) 992769738024	992769738024	Maison	Saint	239000.0	86.0	4.0	0.0	Oui	Non	5062	0	Non	Non	Non	D	B
579	Annonce : Vente Maison Lécluse (59259) 89 m² (98 000 €) 992769738023	992769738023	Maison	Lecluse	98000.0	89.0	5.0	0.0	Oui	Non	2872	0	Non	Non	Non	E	F
583	Annonce : Vente Propriété/château Bonneville-la-Louvet (14130) 265 m² (899 000 €) 992769738020	992769738020	Propritchteau	Bonneville	899000.0	265.0	9.0	0.0	Non	Non	260442	0	Non	Non	Non	D	B
584	Annonce : Vente Maison Tulle (19000) 211 m² (138 000 €) 992769738021	992769738021	Maison	Tulle	138000.0	211.0	8.0	0.0	Oui	Non	12962	0	Non	Non	Non	E	E
586	Annonce : Vente Maison Rennes (35000) 110 m² (462 000 €) 992769738018	992769738018	Maison	Rennes	462000.0	110.0	5.0	0.0	Oui	Non	3552	0	Non	Non	Non	E	E
588	Annonce : Vente Maison Champlitte (70600) 155 m² (55 000 €) 992769738017	992769738017	Maison	Champlitte	55000.0	155.0	5.0	0.0	Oui	Non	1882	0	Non	Non	Non	D	E
590	Annonce : Vente Maison Saint-Caprais (46250) 140 m² (237 000 €) 992769738013	992769738013	Maison	Saint	237000.0	140.0	10.0	0.0	Non	Non	15032	0	Non	Non	Non	ND	ND
591	Annonce : Vente Maison Luçon (85400) 237 m² (549 000 €) 992769738014	992769738014	Maison	Lucon	549000.0	237.0	9.0	0.0	Oui	Non	12962	0	Non	Non	Non	ND	ND
592	Annonce : Vente Maison Marquette-lez-Lille (59520) 101 m² (435 750 €) 992769738015	992769738015	Maison	Marquette	435750.0	101.0	4.0	0.0	Oui	Non	3892	0	Non	Non	Non	C	C
593	Annonce : Vente Maison Dieppe (76200) 55 m² (87 000 €) 992769738012	992769738012	Maison	Dieppe	87000.0	55.0	3.0	0.0	Oui	Non	352	0	Non	Non	Non	ND	ND
594	Annonce : Vente Maison Pech-Luna (11420) 240 m² (193 000 €) 992769737875	992769737875	Maison	Pech	193000.0	240.0	5.0	0.0	Non	Non	3302	0	Non	Non	Non	E	B
595	Annonce : Vente Maison Espezel (11340) 240 m² (195 000 €) 992769737874	992769737874	Maison	Espezel	195000.0	240.0	11.0	0.0	Oui	Non	0	0	Non	Non	Non	G	C
596	Annonce : Vente Maison Bessancourt (95550) 85 m² (336 900 €) 992769737850	992769737850	Maison	Bessancourt	336900.0	85.0	4.0	0.0	Oui	Non	3572	0	Non	Non	Non	D	B
597	Annonce : Vente Maison Houilles (78800) 103 m² (620 000 €) 992769737846	992769737846	Maison	Houilles	620000.0	103.0	5.0	0.0	Oui	Non	2742	0	Non	Non	Non	D	D
598	Annonce : Vente Maison Combs-la-Ville (77380) 110 m² (330 000 €) 992769737847	992769737847	Maison	Combs	330000.0	110.0	5.0	0.0	Oui	Non	4292	0	Non	Non	Non	D	ND
599	Annonce : Vente Maison Chauché (85140) 90 m² (223 000 €) 992769478697	992769478697	Maison	Chauche	223000.0	90.0	4.0	0.0	Oui	Non	6502	0	Non	Non	Non	D	F
600	Annonce : Vente Maison Guichen (35580) 52 m² (106 500 €) 992769737561	992769737561	Maison	Guichen	106500.0	52.0	3.0	0.0	Non	Non	0	0	Non	Non	Non	D	B
602	Annonce : Vente Maison Épinay-sur-Seine (93800) 100 m² (295 000 €) 992769737554	992769737554	Maison	Epinay	295000.0	100.0	5.0	0.0	Oui	Non	0	0	Non	Non	Non	F	F
603	Annonce : Vente Maison Mazamet (81200) 160 m² (234 000 €) 992769737553	992769737553	Maison	Mazamet	234000.0	160.0	8.0	0.0	Oui	Non	0	0	Non	Non	Non	C	A
604	Annonce : Vente Maison Scionzier (74950) 120 m² (420 000 €) 992767521086	992767521086	Maison	Scionzier	420000.0	120.0	6.0	0.0	Oui	Non	7152	0	Non	Non	Non	E	B
606	Annonce : Vente Maison Meynes (30840) 180 m² (298 000 €) 992769737523	992769737523	Maison	Meynes	298000.0	180.0	3.0	0.0	Oui	Non	9302	0	Non	Non	Non	D	D
609	Annonce : Vente Maison Thorigny-sur-Marne (77400) 170 m² (550 000 €) 992769072164	992769072164	Maison	Thorigny	550000.0	170.0	5.0	0.0	Oui	Non	7482	0	Non	Non	Non	D	B
610	Annonce : Vente Villa Alès (30100) 72 m² (208 000 €) 992769737522	992769737522	Villa	Ales	208000.0	72.0	4.0	0.0	Oui	Non	4502	0	Non	Non	Non	D	D
611	Annonce : Vente Maison Perpignan (66000) 78 m² (181 000 €) 992769737520	992769737520	Maison	Perpignan	181000.0	78.0	3.0	0.0	Oui	Non	2912	0	Non	Non	Non	ND	ND
612	Annonce : Vente Maison Épeigné-les-Bois (37150) 101 m² (212 000 €) 992769737519	992769737519	Maison	Epeigne	212000.0	101.0	5.0	0.0	Oui	Non	29902	0	Non	Non	Non	D	B
613	Annonce : Vente Maison Meyzieu (69330) 212 m² (575 000 €) 992769737518	992769737518	Maison	Meyzieu	575000.0	212.0	5.0	0.0	Oui	Non	5632	0	Non	Non	Non	E	B
614	Annonce : Vente Maison Coulommiers (77120) 105 m² (341 000 €) 992769737320	992769737320	Maison	Coulommiers	341000.0	105.0	4.0	0.0	Oui	Non	0	0	Non	Non	Non	ND	ND
617	Annonce : Vente Maison Istres (13800) 122 m² (450 000 €) 992769737299	992769737299	Maison	Istres	450000.0	122.0	4.0	0.0	Oui	Non	2242	0	Non	Non	Non	C	D
618	Annonce : Vente Maison Loury (45470) 136 m² (280 000 €) 992769737297	992769737297	Maison	Loury	280000.0	136.0	5.0	0.0	Oui	Non	7242	0	Non	Non	Non	B	B
619	Annonce : Vente Villa Claret (34270) 100 m² (460 000 €) 992769737288	992769737288	Villa	Claret	460000.0	100.0	5.0	0.0	Oui	Non	13072	0	Non	Non	Non	D	D
621	Annonce : Vente Maison Montargis (45200) 130 m² (289 000 €) 992769736677	992769736677	Maison	Montargis	289000.0	130.0	6.0	0.0	Oui	Non	4102	0	Non	Non	Non	D	C
622	Annonce : Vente Maison Saint-Raphaël (83700) 121 m² (485 000 €) 992769736676	992769736676	Maison	Saint-raphaËl	485000.0	121.0	4.0	0.0	Oui	Non	6982	0	Non	Non	Non	E	B
623	Annonce : Vente Maison Saint-Martin-de-Valgalgues (30520) 85 m² (268 000 €) 992769736675	992769736675	Maison	Saint-martin-de-valgal...	268000.0	85.0	4.0	0.0	Oui	Non	5842	0	Non	Non	Non	C	D
624	Annonce : Vente Maison Argenton-l'Église (79290) 80 m² (87 000 €) 992769736673	992769736673	Maison	Loretz	87000.0	80.0	4.0	0.0	Oui	Non	2722	0	Non	Non	Non	E	E
625	Annonce : Vente Maison Aubervilliers (93300) 120 m² (530 000 €) 992769736667	992769736667	Maison	Aubervilliers	530000.0	120.0	4.0	0.0	Non	Non	0	0	Non	Non	Non	D	E
626	Annonce : Vente Maison Janville (28310) 148 m² (130 000 €) 992769736665	992769736665	Maison	Janville	130000.0	148.0	4.0	0.0	Oui	Non	192	0	Non	Non	Non	D	A
627	Annonce : Vente Maison Grainville-Langannerie (14190) 75 m² (195 000 €) 992769736664	992769736664	Maison	Grainville-langannerie	195000.0	75.0	4.0	0.0	Oui	Non	4002	0	Non	Non	Non	B	C
628	Annonce : Vente Maison Lézignan-Corbières (11200) 84 m² (198 000 €) 992769736663	992769736663	Maison	LÉzignan-corbiÈres	198000.0	84.0	3.0	0.0	Oui	Non	2552	0	Non	Non	Non	C	A
629	Annonce : Vente Maison Guipry (35480) 175 m² (225 000 €) 992769736662	992769736662	Maison	Guipry-messac	225000.0	175.0	6.0	0.0	Oui	Non	12102	0	Non	Non	Non	E	D
630	Annonce : Vente Maison Dax (40100) 134 m² (264 000 €) 992769736661	992769736661	Maison	Dax	264000.0	134.0	4.0	0.0	Oui	Non	0	0	Non	Non	Non	D	E
631	Annonce : Vente Maison Thiant (59224) 133 m² (320 000 €) 992769736660	992769736660	Maison	Thiant	320000.0	133.0	5.0	0.0	Oui	Non	4952	0	Non	Non	Non	B	C
632	Annonce : Vente Maison Fontenay-sous-Bois (94120) 108 m² (590 000 €) 992769736658	992769736658	Maison	Fontenay-sous-bois	590000.0	108.0	5.0	0.0	Oui	Non	2082	0	Non	Non	Non	C	C
633	Annonce : Vente Maison Réhon (54430) 75 m² (159 000 €) 992769736655	992769736655	Maison	RÉhon	159000.0	75.0	3.0	0.0	Oui	Non	882	0	Non	Non	Non	E	D
636	Annonce : Vente Maison Cinq-Mars-la-Pile (37130) 79 m² (157 000 €) 992769736654	992769736654	Maison	Cinq-mars-la-pile	157000.0	79.0	3.0	0.0	Oui	Non	8542	0	Non	Non	Non	E	D
637	Annonce : Vente Maison Saint-Pierre-Quiberon (56510) 179 m² (762 886 €) 992769736652	992769736652	Maison	Saint-pierre-quiberon	762886.0	179.0	5.0	0.0	Non	Non	8502	0	Non	Non	Non	D	D
638	Annonce : Vente Maison Ectot-l'Auber (76760) 149 m² (289 000 €) 992769736651	992769736651	Maison	Ectot-l'auber	289000.0	149.0	6.0	0.0	Oui	Non	11002	0	Non	Non	Non	D	B
639	Annonce : Vente Maison Bonnétable (72110) 52 m² (76 000 €) 992769736650	992769736650	Maison	BonnÉtable	76000.0	52.0	3.0	0.0	Oui	Non	2812	0	Non	Non	Non	F	C
640	Annonce : Vente Maison Semblançay (37360) 184 m² (299 000 €) 992769736649	992769736649	Maison	Semblancay	299000.0	184.0	5.0	0.0	Oui	Non	16642	0	Non	Non	Non	D	E
641	Annonce : Vente Maison Moussy-le-Neuf (77230) 136 m² (362 000 €) 992769736645	992769736645	Maison	Moussy-le-neuf	362000.0	136.0	5.0	0.0	Non	Non	4042	0	Non	Non	Non	D	B
642	Annonce : Vente Maison Dourdan (91410) 89 m² (333 000 €) 992769736644	992769736644	Maison	Dourdan	333000.0	89.0	4.0	0.0	Oui	Non	0	0	Non	Non	Non	D	B
643	Annonce : Vente Maison Horbourg-Wihr (68180) 131 m² (338 000 €) 992769736641	992769736641	Maison	Horbourg-wihr	338000.0	131.0	5.0	0.0	Oui	Non	2242	0	Non	Non	Non	B	C
644	Annonce : Vente Maison Lherm (31600) 206 m² (370 000 €) 992769736642	992769736642	Maison	Lherm	370000.0	206.0	6.0	0.0	Oui	Non	30002	0	Non	Non	Non	B	C
645	Annonce : Vente Maison Trignac (44570) 102 m² (276 041 €) 992769736640	992769736640	Maison	Trignac	276041.0	102.0	5.0	0.0	Oui	Non	3302	0	Non	Non	Non	A	C
646	Annonce : Vente Maison Égriselles-le-Bocage (89500) 100 m² (179 000 €) 992769736639	992769736639	Maison	Égriselles-le-bocage	179000.0	100.0	4.0	0.0	Oui	Non	15002	0	Non	Non	Non	B	B
647	Annonce : Vente Maison Médis (17600) 120 m² (367 500 €) 992769736638	992769736638	Maison	MÉdis	367500.0	120.0	4.0	0.0	Oui	Non	12392	0	Non	Non	Non	D	B
648	Annonce : Vente Maison Bondy (93140) 149 m² (508 000 €) 992769736637	992769736637	Maison	Bondy	508000.0	149.0	7.0	0.0	Oui	Non	4282	0	Non	Non	Non	B	A
649	Annonce : Vente Maison Loivre (51220) 150 m² (329 000 €) 992769736636	992769736636	Maison	Loivre	329000.0	150.0	5.0	0.0	Oui	Non	0	0	Non	Non	Non	F	C
650	Annonce : Vente Maison Nîmes (30000) 123 m² (198 000 €) 992769736635	992769736635	Maison	NÎmes	198000.0	123.0	5.0	0.0	Non	Non	2162	0	Non	Non	Non	C	D
651	Annonce : Vente Maison Lucarré (64350) 131 m² (279 000 €) 992769736634	992769736634	Maison	LucarrÉ	279000.0	131.0	4.0	0.0	Non	Non	26602	0	Non	Non	Non	E	B
652	Annonce : Vente Maison Igny (91430) 158 m² (737 000 €) 992769736633	992769736633	Maison	Igny	737000.0	158.0	8.0	0.0	Oui	Non	5222	0	Non	Non	Non	D	E
653	Annonce : Vente Maison Pagny-sur-Moselle (54530) 280 m² (615 000 €) 992769736632	992769736632	Maison	Pagny-sur-moselle	615000.0	280.0	8.0	0.0	Oui	Non	27002	0	Non	Non	Non	D	D
654	Annonce : Vente Maison Descartes (37160) 64 m² (79 000 €) 992769736630	992769736630	Maison	Descartes	79000.0	64.0	3.0	0.0	Oui	Non	1412	0	Non	Non	Non	E	B
655	Annonce : Vente Maison Raucourt (54610) 118 m² (268 000 €) 992769736629	992769736629	Maison	Raucourt	268000.0	118.0	5.0	0.0	Oui	Non	6112	0	Non	Non	Non	E	B
656	Annonce : Vente Maison Landeronde (85150) 100 m² (299 000 €) 992769736628	992769736628	Maison	Landeronde	299000.0	100.0	4.0	0.0	Oui	Non	4002	0	Non	Non	Non	A	A
657	Annonce : Vente Maison Meschers-sur-Gironde (17132) 100 m² (348 000 €) 992769736627	992769736627	Maison	Meschers-sur-gironde	348000.0	100.0	4.0	0.0	Oui	Non	6342	0	Non	Non	Non	E	B
658	Annonce : Vente Maison Liévin (62800) 125 m² (259 500 €) 992769736625	992769736625	Maison	LiÉvin	259500.0	125.0	6.0	0.0	Oui	Non	8822	0	Non	Non	Non	E	D
659	Annonce : Vente Maison Sainte-Ruffine (57130) 130 m² (234 000 €) 992769736623	992769736623	Maison	Sainte-ruffine	234000.0	130.0	4.0	0.0	Oui	Non	0	0	Non	Non	Non	D	B
660	Annonce : Vente Maison Ognolles (60310) 104 m² (120 000 €) 992769736622	992769736622	Maison	Ognolles	120000.0	104.0	4.0	0.0	Oui	Non	38452	0	Non	Non	Non	G	G
661	Annonce : Vente Maison Nanterre (92000) 74 m² (700 221 €) 992769489886	992769489886	Maison	Nanterre	700221.0	74.0	5.0	0.0	Oui	Non	4002	0	Non	Non	Non	A	ND
663	Annonce : Vente Maison Pouzay (37800) 96 m² (194 000 €) 992769736621	992769736621	Maison	Pouzay	194000.0	96.0	5.0	0.0	Oui	Non	24002	0	Non	Non	Non	A	A
664	Annonce : Vente Maison Frouard (54390) 115 m² (189 000 €) 992769736619	992769736619	Maison	Frouard	189000.0	115.0	4.0	0.0	Oui	Non	2302	0	Non	Non	Non	D	E
665	Annonce : Vente Maison Saint-Symphorien (33113) 130 m² (200 000 €) 992769736617	992769736617	Maison	Saint-symphorien	200000.0	130.0	4.0	0.0	Oui	Non	17002	0	Non	Non	Non	F	C
666	Annonce : Vente Maison Bettancourt-la-Ferrée (52100) 140 m² (262 000 €) 992769736615	992769736615	Maison	Bettancourt-la-ferrÉe	262000.0	140.0	5.0	0.0	Oui	Non	0	0	Non	Non	Non	D	B
667	Annonce : Vente Maison Besné (44160) 166 m² (420 000 €) 992769736616	992769736616	Maison	BesnÉ	420000.0	166.0	6.0	0.0	Oui	Non	13512	0	Non	Non	Non	C	A
668	Annonce : Vente Maison Englefontaine (59530) 139 m² (295 000 €) 992769736613	992769736613	Maison	Englefontaine	295000.0	139.0	5.0	0.0	Oui	Non	61592	0	Non	Non	Non	C	A
669	Annonce : Vente Maison Chemillé (49120) 89 m² (189 500 €) 992769736610	992769736610	Maison	ChemillÉ-en-anjou	189500.0	89.0	4.0	0.0	Oui	Non	8362	0	Non	Non	Non	E	B
670	Annonce : Vente Maison Agen (47000) 140 m² (330 000 €) 992769736611	992769736611	Maison	Agen	330000.0	140.0	6.0	0.0	Non	Non	13842	0	Non	Non	Non	B	A
671	Annonce : Vente Maison Belin-Béliet (33830) 85 m² (365 000 €) 992769736609	992769736609	Maison	Belin-bÉliet	365000.0	85.0	4.0	0.0	Oui	Non	9232	0	Non	Non	Non	B	A
672	Annonce : Vente Maison Montpezat-de-Quercy (82270) 182 m² (162 500 €) 992769736608	992769736608	Maison	Montpezat-de-quercy	162500.0	182.0	6.0	0.0	Oui	Non	0	0	Non	Non	Non	E	B
673	Annonce : Vente Maison Souppes-sur-Loing (77460) 110 m² (219 000 €) 992769736606	992769736606	Maison	Souppes-sur-loing	219000.0	110.0	6.0	0.0	Oui	Non	0	0	Non	Non	Non	G	C
674	Annonce : Vente Maison Saint-Georges-des-Agoûts (17150) 140 m² (189 000 €) 992769736605	992769736605	Maison	Saint-georges-des-agoÛts	189000.0	140.0	5.0	0.0	Oui	Non	10002	0	Non	Non	Non	D	A
675	Annonce : Vente Maison Pont-de-Barret (26160) 265 m² (670 000 €) 992769736278	992769736278	Maison	Pont-de-barret	670000.0	265.0	9.0	0.0	Oui	Non	125692	0	Non	Non	Non	G	C
676	Annonce : Vente Maison Lacroix-Saint-Ouen (60610) 160 m² (465 000 €) 992769736277	992769736277	Maison	Lacroix-saint-ouen	465000.0	160.0	5.0	0.0	Oui	Non	3002	0	Non	Non	Non	B	C
678	Annonce : Vente Maison Villers-Agron-Aiguizy (02130) 78 m² (146 500 €) 992769736274	992769736274	Maison	Villers-agron-aiguizy	146500.0	78.0	3.0	0.0	Oui	Non	3002	0	Non	Non	Non	C	A
679	Annonce : Vente Maison Pont-de-Barret (26160) 135 m² (90 000 €) 992769736272	992769736272	Maison	Pont-de-barret	90000.0	135.0	3.0	0.0	Non	Non	24152	0	Non	Non	Non	ND	ND
680	Annonce : Vente Maison Ris-Orangis (91130) 99 m² (310 000 €) 992769736270	992769736270	Maison	Ris-orangis	310000.0	99.0	4.0	0.0	Oui	Non	3302	0	Non	Non	Non	E	E
681	Annonce : Vente Maison Lignan-sur-Orb (34490) 150 m² (335 000 €) 992769736269	992769736269	Maison	Lignan-sur-orb	335000.0	150.0	6.0	0.0	Oui	Non	4502	0	Non	Non	Non	B	A
683	Annonce : Vente Maison Sainte-Clotilde (97490) 80 m² (364 600 €) 992769736268	992769736268	Maison	Sainte-clotilde	364600.0	80.0	4.0	0.0	Oui	Non	2702	0	Non	Non	Non	ND	ND
684	Annonce : Vente Maison Saintes (17100) 83 m² (175 000 €) 992769736267	992769736267	Maison	Saintes	175000.0	83.0	3.0	0.0	Oui	Non	0	0	Non	Non	Non	G	C
685	Annonce : Vente Maison Beaumes-de-Venise (84190) 175 m² (244 000 €) 992769736266	992769736266	Maison	Beaumes-de-venise	244000.0	175.0	5.0	0.0	Oui	Non	0	0	Non	Non	Non	D	D
686	Annonce : Vente Maison Arnage (72230) 130 m² (204 000 €) 992769736265	992769736265	Maison	Arnage	204000.0	130.0	7.0	0.0	Oui	Non	2832	0	Non	Non	Non	D	A
687	Annonce : Vente Maison Pléneuf-Val-André (22370) 115 m² (520 800 €) 992769736264	992769736264	Maison	PlÉneuf-val-andrÉ	520800.0	115.0	4.0	0.0	Oui	Non	5462	0	Non	Non	Non	D	A
695	Annonce : Vente Maison Port-Sainte-Foy-et-Ponchapt (33220) 174 m² (370 000 €) 992769736261	992769736261	Maison	Port-sainte-foy-et-pon...	370000.0	174.0	6.0	0.0	Oui	Non	30002	0	Non	Non	Non	C	A
698	Annonce : Vente Maison Saint-Romain-d'Ay (07290) 91 m² (240 000 €) 992769736260	992769736260	Maison	Saint-romain-d'ay	240000.0	91.0	4.0	0.0	Oui	Non	9252	0	Non	Non	Non	D	D
703	Annonce : Vente Maison Mantes-la-Ville (78711) 53 m² (185 000 €) 992769735600	992769735600	Maison	Mantes-la-ville	185000.0	53.0	3.0	0.0	Oui	Non	2042	0	Non	Non	Non	E	D
704	Annonce : Vente Maison Montauban-de-Bretagne (35360) 100 m² (268 000 €) 992769735596	992769735596	Maison	Montauban-de-bretagne	268000.0	100.0	6.0	0.0	Oui	Non	2982	1	Non	Non	Non	A	B
705	Annonce : Vente Maison Lespignan (34710) 120 m² (235 000 €) 992769735573	992769735573	Maison	Lespignan	235000.0	120.0	3.0	0.0	Oui	Non	0	0	Non	Non	Non	C	C
707	Annonce : Vente Maison Liposthey (40410) 166 m² (324 000 €) 992769735447	992769735447	Maison	Liposthey	324000.0	166.0	5.0	0.0	Oui	Non	19842	0	Non	Non	Non	D	B
708	Annonce : Vente Maison Herrlisheim-près-Colmar (68420) 100 m² (273 000 €) 992769735445	992769735445	Maison	Herrlisheim	273000.0	100.0	4.0	0.0	Oui	Non	3002	1	Non	Non	Non	G	C
709	Annonce : Vente Villa Saint-Médard-en-Jalles (33160) 145 m² (551 200 €) 992769470626	992769470626	Villa	Saint	551200.0	145.0	5.0	0.0	Oui	Oui	12202	1	Non	Non	Non	E	D
710	Annonce : Vente Maison Cernay (68700) 116 m² (267 000 €) 992769273612	992769273612	Maison	Cernay	267000.0	116.0	7.0	0.0	Oui	Non	5902	1	Non	Non	Non	E	D
711	Annonce : Vente Maison Saint-Pierre (97410) 155 m² (387 096 €) 992769735432	992769735432	Maison	Saint-pierre	387096.0	155.0	10.0	0.0	Oui	Non	3502	1	Non	Non	Non	ND	ND
712	Annonce : Vente Maison Lille (59000) 44 m² (119 900 €) 992769735369	992769735369	Maison	Lille	119900.0	44.0	3.0	0.0	Oui	Non	0	0	Non	Non	Non	D	B
