	title	ref	typeBien	ville	price	surface	pieces	chambres	cuisine	garage	surface_terrain	nbSalleBain	balcon	terrace	jardin	classEnergy	gazEmission
56	Annonce : Vente Maison Villeneuve-sur-Yonne (89500) 155 m² (199 000 €) 992768852880	992768852880	Maison	Villeneuve	199000.0	155.0	6.0	0.0	Oui	Non	1002	1	Non	Non	Non	C	D
57	Annonce : Vente Maison Lailly (89190) 150 m² (145 000 €) 992769371337	992769371337	Maison	Lailly	145000.0	150.0	5.0	0.0	Oui	Oui	7402	0	Non	Non	Non	F	F
58	Annonce : Vente Maison Sens (89100) 115 m² (272 000 €) 992769554878	992769554878	Maison	Sens	272000.0	115.0	4.0	0.0	Oui	Oui	4402	0	Non	Non	Non	C	A
59	Annonce : Vente Maison Rieupeyroux (12240) 100 m² (199 000 €) 992769601828	992769601828	Maison	Rieupeyroux	199000.0	100.0	6.0	0.0	Oui	Non	10002	0	Non	Non	Non	F	F
61	Annonce : Vente Maison Pampelonne (81190) 100 m² (157 500 €) 992769721547	992769721547	Maison	Pampelonne	157500.0	100.0	5.0	0.0	Oui	Non	9102	0	Non	Non	Non	ND	ND
62	Annonce : Vente Maison Sauveterre-de-Rouergue (12800) 88 m² (75 000 €) 992761001479	992761001479	Maison	Sauveterre	75000.0	88.0	4.0	0.0	Oui	Non	182	1	Non	Non	Non	ND	ND
64	Annonce : Vente Maison Pradinas (12240) 130 m² (90 000 €) 992761829999	992761829999	Maison	Pradinas	90000.0	130.0	8.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
65	Annonce : Vente Maison Naucelle (12800) 93 m² (220 500 €) 992766921942	992766921942	Maison	Naucelle	220500.0	93.0	4.0	0.0	Oui	Non	20032	0	Non	Non	Non	ND	ND
66	Annonce : Vente Maison Pompaire (79200) 117 m² (79 920 €) 992769503316	992769503316	Maison	Pompaire	79920.0	117.0	5.0	0.0	Oui	Non	23142	0	Non	Non	Non	E	E
67	Annonce : Vente Maison Nanterre (92000) 91 m² (714 845 €) 992769489887	992769489887	Maison	Nanterre	714845.0	91.0	6.0	0.0	Oui	Non	4002	0	Non	Non	Non	A	ND
69	Annonce : Vente Maison Saint-Aubin-le-Cloud (79450) 160 m² (462 000 €) 992769054407	992769054407	Maison	St	462000.0	160.0	6.0	0.0	Oui	Oui	242582	1	Non	Non	Non	C	A
70	Annonce : Vente Maison Chalandray (86190) 157 m² (59 400 €) 992769235442	992769235442	Maison	Chalandray	59400.0	157.0	6.0	0.0	Oui	Non	0	1	Non	Non	Non	F	C
71	Annonce : Vente Maison Châtillon-sur-Thouet (79200) 181 m² (174 825 €) 992769250602	992769250602	Maison	Chatillon	174825.0	181.0	7.0	0.0	Oui	Non	9362	0	Non	Non	Non	D	B
72	Annonce : Vente Maison Dijon (21000) 150 m² (675 000 €) 992766467125	992766467125	Maison	Dijon	675000.0	150.0	7.0	0.0	Oui	Oui	4982	1	Non	Non	Non	B	A
73	Annonce : Vente Maison Mazières-en-Gâtine (79310) 185 m² (283 500 €) 992763836189	992763836189	Maison	Mazieres	283500.0	185.0	7.0	0.0	Oui	Oui	44662	2	Non	Non	Non	D	D
75	Annonce : Vente Maison Autun (71400) 125 m² (292 000 €) 992769564467	992769564467	Maison	Autun	292000.0	125.0	5.0	0.0	Oui	Oui	362	0	Non	Non	Non	B	C
77	Annonce : Vente Maison Saint-Aunès (34130) 261 m² (950 000 €) 992769638177	992769638177	Maison	Saint	950000.0	261.0	6.0	0.0	Oui	Oui	10002	0	Non	Non	Non	B	B
78	Annonce : Vente Maison Grabels (34790) 140 m² (412 000 €) 992767837735	992767837735	Maison	Grabels	412000.0	140.0	5.0	0.0	Non	Oui	7012	1	Non	Non	Non	D	D
79	Annonce : Vente Maison Coursegoules (06140) 273 m² (682 000 €) 992768330041	992768330041	Maison	Coursegoules	682000.0	273.0	7.0	0.0	Oui	Non	2102	4	Non	Non	Non	C	C
80	Annonce : Vente Maison Roiffieux (07100) 160 m² (298 000 €) 992769565601	992769565601	Maison	Roiffieux	298000.0	160.0	7.0	0.0	Oui	Oui	18322	1	Non	Non	Non	D	B
81	Annonce : Vente Maison Coubert (77170) 166 m² (375 000 €) 992769192835	992769192835	Maison	Coubert	375000.0	166.0	6.0	0.0	Oui	Non	5342	0	Non	Non	Non	C	A
82	Annonce : Vente Maison Brunoy (91800) 155 m² (439 000 €) 992769192837	992769192837	Maison	Brunoy	439000.0	155.0	7.0	0.0	Oui	Non	4372	0	Non	Non	Non	D	E
84	Annonce : Vente Maison Amiens (80000) 257 m² (599 000 €) 992769192911	992769192911	Maison	Amiens	599000.0	257.0	6.0	0.0	Oui	Non	0	0	Non	Non	Non	B	B
85	Annonce : Vente Maison Istres (13800) 160 m² (425 000 €) 992769331288	992769331288	Maison	Istres	425000.0	160.0	6.0	0.0	Non	Oui	0	0	Non	Non	Non	A	A
86	Annonce : Vente Maison Saint-Just-la-Pendue (42540) 184 m² (224 000 €) 992769331296	992769331296	Maison	Saint	224000.0	184.0	6.0	0.0	Oui	Non	0	0	Non	Non	Non	ND	ND
87	Annonce : Vente Maison Plœuc-sur-Lié (22150) 80 m² (137 900 €) 992769311193	992769311193	Maison	Ploeuc	137900.0	80.0	5.0	0.0	Oui	Non	0	0	Non	Non	Non	E	B
88	Annonce : Vente Maison Guîtres (33230) 41 m² (52 000 €) 992769331311	992769331311	Maison	Guitres	52000.0	41.0	3.0	0.0	Oui	Non	0	0	Non	Non	Non	ND	ND
89	Annonce : Vente Maison Mimizan (40200) 90 m² (235 000 €) 992769363594	992769363594	Maison	Mimizan	235000.0	90.0	5.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
90	Annonce : Vente Maison Chartres (28000) 84 m² (202 000 €) 992769738118	992769738118	Maison	Chartres	202000.0	84.0	5.0	0.0	Oui	Non	5002	0	Non	Non	Non	ND	ND
91	Annonce : Vente Maison Cabannes (13440) 160 m² (269 500 €) 992768788847	992768788847	Maison	Cabannes	269500.0	160.0	6.0	0.0	Oui	Non	1352	0	Non	Non	Non	C	A
92	Annonce : Vente Maison Plan-d'Orgon (13750) 180 m² (543 000 €) 992769312838	992769312838	Maison	Plan	543000.0	180.0	6.0	0.0	Oui	Non	21982	2	Non	Non	Non	D	B
93	Annonce : Vente Maison Vaison-la-Romaine (84110) 306 m² (892 000 €) 992766702323	992766702323	Maison	Vaison-la-romaine	892000.0	306.0	5.0	0.0	Non	Oui	21702	1	Non	Non	Non	D	D
95	Annonce : Vente Maison Nanterre (92000) 100 m² (815 000 €) 992769679784	992769679784	Maison	Nanterre	815000.0	100.0	7.0	0.0	Oui	Non	3902	0	Non	Non	Non	A	ND
96	Annonce : Vente Maison Saint-Andiol (13670) 115 m² (180 000 €) 992766908460	992766908460	Maison	Saint	180000.0	115.0	4.0	0.0	Non	Non	5802	0	Non	Non	Non	E	D
97	Annonce : Vente Maison Orgon (13660) 92 m² (195 000 €) 992768192017	992768192017	Maison	Orgon	195000.0	92.0	5.0	0.0	Oui	Oui	472	1	Non	Non	Non	D	B
98	Annonce : Vente Maison Cuisery (71290) 166 m² (295 000 €) 992768894440	992768894440	Maison	Cuisery	295000.0	166.0	7.0	0.0	Oui	Non	13392	1	Non	Non	Non	D	B
102	Annonce : Vente Maison Cabannes (13440) 220 m² (725 000 €) 992768755072	992768755072	Maison	Cabannes	725000.0	220.0	10.0	0.0	Oui	Oui	60612	0	Non	Non	Non	C	A
103	Annonce : Vente Maison Cavaillon (84300) 88 m² (280 500 €) 992768838965	992768838965	Maison	Cavaillon	280500.0	88.0	4.0	0.0	Oui	Non	2472	1	Non	Non	Non	D	B
104	Annonce : Vente Maison Albertville (73200) 90 m² (332 800 €) 992769481834	992769481834	Maison	Albertville	332800.0	90.0	4.0	0.0	Oui	Non	4402	1	Non	Non	Non	D	D
105	Annonce : Vente Maison Albertville (73200) 147 m² (384 800 €) 992769549556	992769549556	Maison	Albertville	384800.0	147.0	6.0	0.0	Oui	Non	10632	2	Non	Non	Non	F	B
107	Annonce : Vente Maison Nancy (54000) 91 m² (299 000 €) 992767181308	992767181308	Maison	Nancy	299000.0	91.0	5.0	0.0	Oui	Oui	0	0	Non	Non	Non	B	B
